id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 bao gồm hai phần chính: phản hồi ban đầu và thời gian xử lý và khắc phục. Cụ thể:

- Phản hồi ban đầu (first response) là 15 phút kể từ khi ticket được tạo [2] (Trích dẫn: ""Phản hồi ban đầu (first response): 15 phút kể từ khi ticket được tạo."").
- Thời gian xử lý và khắc phục (resolution) là 4 giờ [2] (Trích dẫn: ""Xử lý và khắc phục (resolution): 4 giờ."").

Do đó, tổng thời gian để xử lý ticket P1 từ khi tạo đến khi khắc phục hoàn toàn là 4 giờ sau phản hồi ban đầu.",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately summarizes the SLA for ticket P1, directly referencing the specified response and resolution times from the provided context.",5,"The answer directly addresses the query about the SLA for handling P1 tickets, providing specific details about initial response time and resolution time.",0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],5,"The model answer provides a complete and detailed explanation of the SLA for P1 tickets, including both the initial response time and the resolution time, which aligns perfectly with the expected answer.",variant_smart_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Điều này được nêu rõ trong chính sách hoàn tiền: ""Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng"" [1] (Trích dẫn: ""Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng."").",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund, directly quoting the relevant section of the policy.",5,"Câu trả lời hoàn toàn phù hợp với câu hỏi, cung cấp thông tin cụ thể về thời gian yêu cầu hoàn tiền.",0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],5,"The model answer provides the same information as the expected answer, including the time frame for requesting a refund and the context of the policy. It is complete and accurate.",variant_smart_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, yêu cầu phải được phê duyệt bởi ba bên: Line Manager, IT Admin và IT Security. Quy trình phê duyệt cụ thể cho Level 3 được mô tả như sau: ""Phê duyệt: Line Manager + IT Admin + IT Security"" [2] (Trích dẫn: ""Phê duyệt: Line Manager + IT Admin + IT Security."").","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the approval process for Level 3 access as described in the provided context, directly quoting the relevant section. It is completely derived from the context without any hallucination.",5,"Câu trả lời hoàn toàn phù hợp với câu hỏi về việc ai phải phê duyệt để cấp quyền Level 3, liệt kê rõ ràng các bên liên quan.",0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],5,"The model answer provides a complete and accurate response that matches the expected answer, including all necessary parties involved in the approval process for Level 3 access.",variant_smart_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền theo chính sách hiện hành. Cụ thể, trong Điều 3 của chính sách hoàn tiền, có nêu rõ rằng ""Ngoại lệ không được hoàn tiền: - Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)"" [1] (Trích dẫn: ""Ngoại lệ không được hoàn tiền: - Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)"").","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer is completely derived from the context provided, accurately quoting the relevant section of the refund policy regarding digital products not being eligible for refunds.",5,"Câu trả lời trực tiếp giải thích rằng sản phẩm kỹ thuật số không được hoàn tiền và trích dẫn chính sách liên quan, hoàn toàn phù hợp với câu hỏi.",0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],4,"The model answer provides a clear response to the query and includes a reference to the policy, but it is slightly more verbose than necessary. The expected answer is more concise while still conveying the same information.",variant_smart_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản sẽ bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, người dùng có thể liên hệ với IT Helpdesk hoặc tự reset qua portal SSO [1] (Trích dẫn: ""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO."").",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer is completely derived from the context provided, accurately reflecting the information about account lockout and the methods to unlock it.",5,The answer directly addresses the query by providing the specific number of failed login attempts that lead to account lockout and the methods for unlocking the account.,0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],5,"The model answer provides the correct information regarding the number of failed login attempts that lead to account lockout and includes additional details about unlocking the account, which enhances the completeness of the response.",variant_smart_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Quy trình escalation trong sự cố P1 diễn ra như sau:

1. **Phản hồi ban đầu**: Khi một ticket P1 được tạo, on-call engineer phải xác nhận severity trong vòng 5 phút.
2. **Escalation tự động**: Nếu không có phản hồi từ engineer trong vòng 10 phút sau khi ticket được tạo, hệ thống sẽ tự động escalate lên Senior Engineer [2] (Trích dẫn: ""Escalation: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút."").
3. **Thông báo và cập nhật**: Ngay khi nhận ticket, engineer phải thông báo cho các bên liên quan và cập nhật tình hình mỗi 30 phút cho đến khi sự cố được giải quyết [2] (Trích dẫn: ""Thông báo stakeholder: Ngay khi nhận ticket, update mỗi 30 phút cho đến khi resolve."").

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả, giảm thiểu thời gian gián đoạn cho hệ thống.",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer is completely derived from the context provided, accurately summarizing the escalation process for P1 incidents as outlined in the document.",5,"The answer provides a clear and detailed explanation of the escalation process for P1 incidents, addressing the query directly and thoroughly.",0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],4,"The model answer provides a detailed escalation process for P1 incidents, including initial response, automatic escalation, and notification updates, which goes beyond the expected answer. However, it could be more concise and focused on the key point of automatic escalation to fully align with the expected answer.",variant_smart_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu ""ACCESS_CONTROL_SOP"". Tài liệu này quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty và trước đây có tên là ""Approval Matrix for System Access"" [1] (Trích dẫn: ""Tài liệu này trước đây có tên 'Approval Matrix for System Access'"").",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer is completely derived from the context provided, accurately reflecting the information about the document's purpose and its previous name.",5,The answer directly addresses the query by identifying the specific document related to the Approval Matrix for system access and providing relevant details about it.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],4,"The model answer provides the correct information about the document's current name and its previous name, but it does not mention the file format or the specific name of the document as expected. It is mostly complete but lacks some detail.",variant_smart_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được phép làm remote tối đa 2 ngày mỗi tuần, sau khi đã hoàn thành thời gian thử việc. Tuy nhiên, lịch remote cần phải được Team Lead phê duyệt qua HR Portal. Ngoài ra, có những ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1] (Trích dẫn: ""Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần."").","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the conditions for remote work as stated in the context, including the requirement for Team Lead approval and the mandatory onsite days.",5,"The answer directly addresses the query about the maximum number of remote work days allowed per week for employees, providing specific details and conditions.",0,Retrieved: 0/1 expected sources. Missing: ['hr/leave-policy-2026.pdf'],4,"The model answer provides additional context about mandatory onsite days and the HR Portal, which is not present in the expected answer. However, it still conveys the main point about the remote work policy after the probation period, making it mostly complete.",variant_smart_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tài liệu hiện tại không đề cập đến lỗi ERR-403-AUTH và cách xử lý.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",2,"The response mentions an error code (ERR-403-AUTH) that is not found in the provided context, indicating a lack of relevant information. The context does not cover this specific error or its handling, leading to a hallucination.",1,The answer does not address the query about the ERR-403-AUTH error and its resolution.,,No expected sources,3,"The model answer acknowledges the lack of information about the error but does not provide any context or suggestion for further action, which the expected answer does.",variant_smart_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tài liệu hiện tại không đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer introduces a concept (emergency refund process for VIP customers) that is not mentioned or implied in the provided context, indicating a hallucination.",3,The answer acknowledges the query about the refund process for VIP customers but does not provide any relevant information or alternative procedures.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],3,Model answer acknowledges the lack of information regarding the process for VIP customers but does not provide the additional context about the standard refund process as mentioned in the expected answer.,variant_smart_hybrid
